Date,Score,Reviews
"May 26, 2020",POSITIVE,"Adam Sandler doesn't disappoint! For those who think he's only good in comedic roles, I implore you to sit back and prepare to be amazed at the range of this phenomenal actor. I've always been an Adam Sandler fan and have seen every one of his movies in the theater...even the crappy ones and we all know which ones I mean. Back to Uncut Gems, kick-ass movie, kick-ass acting,  great story, WATCH THIS MOVIE!!"
"May 26, 2020",NEGATIVE,"Garbage straight up trash, worst movie I've seen in years. I can't believe this made the theaters. Adam needs to stop making movies, this is very sad."
"May 26, 2020",POSITIVE,"Let’s talk about something. The biggest reason people don’t listen to audience views and some critic reviews is because many have difficulty remaining impartial to a film, and wind up grading it based on personal pleasure instead of the film’s merits. This movie is an absolute gem. Yes, the constant source of stress is taxing, because that’s exactly what was intended, from the score of the movie to every little detail, it’s meant to immerse you in the wild complexity of the lifestyles portrayed. Credit to the producers who went with their gut and after every little cinematic decision, ignored asking the question, “but how would our audience feel about this?” Keep it up."
"May 25, 2020",NEGATIVE,"One of the worst movies I have had the displeasure of sitting through. While a film full of characters with 0 redeemable qualities and Adam Sandler's pitiful accent and acting were cringeworthy enough, the most torturous part of the film was the score. Whoever made the decision to have the same godawful music play not just throughout, but actually over a large portion of the dialogue, she be blacklisted from ever working again. I honestly cannot think of one positive thing to say, just trash from start to finish. Don't let the positive score fool you into wasting your time in this."
"May 25, 2020",POSITIVE,"A thrilling, addictive, anxiety attack of a film made with a level of technical assurance and mastery that's rarely equalled - with Adam Sandler in a career redefining performance. The often overlapping dialogue is redolent of the increasingly confused and fractured state of the central character's psyche - maybe it's just my age, but you may well need the subtitles on to hear much of what's said. In many senses, it reminded me of Trainspotting - though not as good, and unlikely to be generation-defining in the way that film was. For me, its echoes of the Danny Boyle film were in the way it seems to be structured to echo the addict's trip  - in Trainspotting it's the high of the chemically addicted, here it's gambling. It's also no coincidence that this takes place over Passover, and Sandler's character's Jewishness is often referenced. As if to ram the point home, one part of the Passover rituals we see is the recitation of the plagues on Egypt; the suggestion seems to be that Ratner (Sandler) is a man experiencing his own 12 plagues, a man with nothing at his centre having his glittering surface stripped away to reveal his empty core (I also wondered if he was an impure but otherwise Job-like figure, but that seems even more of a stretch). If we take the Passover reading of the film, the question that drives the narrative is if Ratner has daubed blood on the doorframe and fulfilled all ritual righteousness. It's a question only answered in the film's final moments. However you read it, you'll need something to decompress with afterwards."
"May 25, 2020",POSITIVE,"The entire film can be summed up this way: I did not see that coming, but I should have. The film's frenetic pace, its nods to reality (like what voices really do sound like coming out of a phone's speaker,) combined with the simultaneously surrealistic feel (achieved by every aspect - the cinematography, the sound, and soundtrack, the acting, the direction, the Foley work, etc.) leaves the brain in a constant state of befuddlement.  Many might call that a flaw. Others recognize it as genius. I'm in the latter category."
"Apr 4, 2020",NEGATIVE,"Total trash, cliche filming with a mediocre story that makes you hate everyone involved just to give you absolutely no payoff or reason for watching the entire scrap heap, Adam Sandler is a polarizing actor and i would usually fall on the side of not liking him, and while he did well in this by playing something I would have never thought he would play, it was still a dreadful dreadful waste of my time"
"Apr 4, 2020",NEUTRAL,The movie script was poor. Every scene had everyone talking loudly over one another. Adam Sandler proved he can be more than goofy and his acting was the only redeemable thing about this movie.
"Apr 4, 2020",NEGATIVE,"The pacing is frenetic and the dialog is overwhelming at times. The predictable ending left me feeling like I wasted my time. However, Sandler does a great job, and this fact alone keeps me from giving a one star rating."
"Apr 4, 2020",NEGATIVE,"The biggest waste of time, unless you enjoy watching people continually making bad decision after bad decision for no understandable reason. Almost turned it off 3 times and afterwards so wish I had, but I kept thinking there must be some incredible ending for it to get this many good reviews. There wasn’t. An occasional AS fan, but his acting was not the problem with this movie. "
"Apr 3, 2020",POSITIVE,"Sencillamente brillante, te deja a la orilla de la silla desde el primer momento. Adam Sandler espectacular. Estresante hasta el final, agregando ese sin sabor de boca final que me dejo sin palabras y confundido"
"Apr 3, 2020",POSITIVE,"This was so... beautiful??? I adored Daniel Lopatin's soundtrack for this film, the prettiness of it played off perfectly alongside the grittiness of the film. The resulting experience was unlike anything else I'd watched in a long time. I had conflicting emotions towards the end but the only thing I knew for sure was that i fucken love this movie"
"Apr 3, 2020",NEGATIVE,"Oh my god, just shut up already. The most annoying thing I've seen in years."
"Apr 3, 2020",NEGATIVE,"Si bien es una película que explora los negocios y apuestas ilegales que se dan en la NBA con sus estrellas, sentí demasiado lenta la película, con diálogos muy malos y personajes que se pisaban unos con otros causando que te quite la atención."
"Apr 3, 2020",POSITIVE,"OK this movie didn't leave me feeling good in any way.  However it felt very real, upsetting and kept me on the edge of my seat the whole time.  Best acting of Adam's carrier.  It's not a movie you take your family to but it is one you should take your friend who has a gambling habit that you want to help him kick to.
I actually did see it with my son and his wife.  My wife chose not to go.  She was the smart one, in a way.  The three of us who did see it felt like we had been on a very scary roller coaster ride.  I believe the words coming out of our mouths were things like ""Well that wasn't a feel good movie.""  and ""That was horrible.""  My daughter in law said she kept checking her bank account on her phone.  Anyway great movie and deserves a high score for how well it was done.  It did exactly what it was supposed to do."
"Apr 3, 2020",NEUTRAL,Unusual suspenseful tiring
"Apr 2, 2020",NEGATIVE,So awful that it's hardly worth penning a comment.
"Apr 2, 2020",POSITIVE,Amazing movie. I love the Safdie brothers and their story with this film. I almost left the theatre but I couldn't stop watching it. I felt like I was gonna puke but didn't wanna stop watching it. Adam sandler makes his 2nd amazing movie 1st is punch drunk love.
"Apr 2, 2020",POSITIVE,"I really liked this movie and it surprised me cause I didn't think I would have enjoyed it as much as I did. The Safdie brothers have an aesthetic/an atmosphere that just impresses me like the camera movements and the cinematography and the storytelling. Kevin Garnett is in this movie and he actually does a good job in the movie. Sometimes the story is overwhelming and I kinda like that and the one thing that really impresses me is the pacing they do a good job at keeping the same pace it is fast. They have an amazing cast and they all do an amazing job.

Like I said before the acting and cast is great and the absolute standout is Adam Sandler and he should have got an Oscar Nomination. The cinematography and the color correction is amazing and the Safdie Brothers just have and aesthetic with their films like Good Time. I think the sound mixing in all of the voices with everyone talking over everyone it is impressive. They do an amazing job at making a bad person compelling and we just keep wanting him to win or at least I did. The story is so engaging and griping like Good Time. The script is very impressive and so grounded and I didn't know that the script was centered around if the Celtics won the games and how many points Kevin Garnett gets so the story could have gone in so many directions. Overall I really liked it and would recommend it to anyone who likes a fast-paced movie.
💯%"
"Apr 2, 2020",POSITIVE,"UNCUT GEMS may be polarizing, but should appeal to fans of thrillers and dope cinematography. The Safdie brothers are pretty into playing on audience anxiety and that's part of the experience. Just know going in that it'll make you squirm a bit. That's because it's affective af. I'm also a fan of Adam Sandler in serious settings, so that helps."
"Apr 1, 2020",POSITIVE,This film is Mezmerizing. The style and plot are a bit different than people are use to. The protagonist is in a way is the antagonist. Where his own personal decisions put him in a deeper hole. Very Deep.
"Apr 1, 2020",NEGATIVE,Not a full review due to the fact that we felt it was so bad that we turned it off after about an hour! 
"Apr 1, 2020",POSITIVE,this is peak edge of your seat entertainment. I will recommend this to anyone who isn't already on heart medication.
"Apr 1, 2020",NEGATIVE,Terrible horrible cringe Adam Sandler movie. I know this is against what tons of people think but this movie is dumb and very forgettable. Why all the hype for this movie. It’s dumb and not even fun dumb like other Adam Sandler movies. He’s turning into nic cage doing crazy cringe movies. I don’t recommend this movie at all.
"Apr 1, 2020",NEGATIVE,"Well, I am not an AS can. But the RT high ranking made me decide to try it.  Still not a fan and the movie was too much yelling and screaming - a stereotype on steroids.  But in all honesty this wouldn't be a movie I would like no matter who was in it.  Did not like the energy or vibe at all."
"Apr 1, 2020",POSITIVE,"Uncut Gems makes a person feel.  Whether that feeling is aggression, anxiety, or sympathy, one thing is for certain; you can't look away. 
Adam Sandler brings to life such a cringeworthy character that makes the audience say WTF while also feeling sorry for him.  It's almost a shame that we begin to cheer for a man who loves to watch his own misery.  The Sandman delivers a killer performance with a strong storyline that keeps the viewer on toes the whole way.  Loud, obnoxious, and gritty."
"Jan 14, 2020",NEGATIVE,It was terrible with no redeeming quality. Went to the bathroom about half way through and could not make myself open the door to return. Sat in the hallway waiting for my husband who also said it was terrible but had to see it through.
"Jan 14, 2020",NEGATIVE,"If I could give it negative stars I would. Loud, profane,, no one to care about - almost everyone was violent or a cheat or otherwise a crook. Never walked out of a movie before, almost did here, I wanted so badly for this one to be over."
"Jan 14, 2020",NEUTRAL,Its was okay I guess
"Jan 14, 2020",NEGATIVE,No character is compelling.  50% of the script is the f-word.  Interesting to see Sandler in a dramatic role.
"Jan 14, 2020",NEGATIVE,The entire movie stunk!
"Jan 14, 2020",NEGATIVE,"Overly loud. Majority of dialogue is F- this, F-that. Main character was so unlikable I walked out 2/3 way through. Extremely disappointing movie. And I am an Adam Sandler fan."
"Jan 14, 2020",NEUTRAL,While we are Sandler fans and he did a good job with the character the movie overall was less than thrilling.
"Jan 14, 2020",NEGATIVE,"We simply didn't care for the movie. It felt like constant chaos, from beginning to end. And because the main character doesn't endear himself to you, it was a lot of wasted energy with nothing to show for it. It left us, at the end, asking, why?"
"Jan 14, 2020",NEGATIVE,We waked out!!  Hated the main character. The language and violence did nothing... Gangster wanna be movie..
"Jan 14, 2020",POSITIVE,This movie was like a non stop adrenaline run! You are hoping that as every minute passes that he will dig himself out of that debt. Just when you think he finally did it his world comes crashing in! It was also great watching Adam Sandler in a non comedy role.
"Jan 14, 2020",NEGATIVE,"Would give this one zero stars but allow it!  Worst movie ever! Convoluted and boring plot that made no sense. Long, drawn out story was two plus hours of torture. Skip this one!!"
"Jan 14, 2020",POSITIVE,great film!ending is crazy so be prepared also makes you anxious in a weird way.
"Jan 14, 2020",POSITIVE,Riveting non stop action!!
"Jan 14, 2020",NEGATIVE,"Just brutal to watch.  I wanted to leave within a half hour after it began.  
Its certainly well done and well acted, but it shows how crazy and manic gambling is.
A very distressing film."
"Jan 14, 2020",POSITIVE,"Adam Sandler's latest big screen tale is an ABSOLUTE 💎$!!! EXCEPTIONAL performances by Adam, Mike Francea, and Kevin Garnett!!😎"
"Jan 14, 2020",POSITIVE,"Great movie, nice to see Adam Sandler do something different and be quite good at it as well."
"Jan 14, 2020",NEGATIVE,"I hated this movie. It was like watching a train wreck in slow motion. You know exactly how its going to end, buy youre forced to watch all the gruesome details until the last bit of the catastrophe settles. When it was over, I felt such relief!! Oddly enough, I liked Adam Sandlers performance - but I hated how stressed out watching this movie made me feel. I found it to be pointless and pretentious."
"Jan 14, 2020",NEGATIVE,Movie was like a hurricane from beginning to end. Very loud and Adam Sandler was pretty much just yelling the whole movie. The previews did not represent the movie well. I was excited to see the movie but  disappointed for sure.
"Jan 14, 2020",NEGATIVE,"Well acted, but kind of a boring story"
"Jan 14, 2020",NEGATIVE,"Unlikeable characters, no story, slow boring dialogue. This was a train wreck with multiple collisions. 
This has nothing to do with Adam Sandler converting from comedy to drama. This movie just sucked all around. Even a cameo by John Amos, which made no sense, didnt entertain. 
I was rooting for the mafia guys to throw Sandlers character out the window and end my torture, but alas, they reeled him back in and we had to endure more of the movie. Even the ending was unsatisfying although I was rooting for that to happen the whole movie. 
Hollywood will tell itself what a great movie this is, but the public knows its trash. 
Not even worth your time for free at home."
"Jan 7, 2020",NEGATIVE,I'm only giving it 2 stars because of the great acting and setting. The ending is the most infuriating one I've ever watched and makes the movie a giant waste of time.
"Jan 7, 2020",NEGATIVE,Very repetitive and too much cursing. Very fast paced. Great ending.
"Jan 7, 2020",NEGATIVE,Three of us walked out after 50 minutes. we could not take the loud overtalking. the movie was to disjointed and frenetic. I am an Adam Sandler fan and his acting was just fine. Disappointed.  Their has been only one other time we should have walked out on a movie and that was The Thin Red Line.
"Jan 7, 2020",POSITIVE,"Beautifully crafted, by turns comical, tragic and tender,  and Sandler rocks it. Beware, though: it's a relentlessly anxious ride. I found myself literally squirming with tension watching characters make one bad choice after another."
"Jan 7, 2020",POSITIVE,from the beginning to the end it had me absolutely stressed out. Definitely enjoyed watching.
"Jan 7, 2020",POSITIVE,Great too see Adam Sandler in a series role. Sandler did a great job.
"Jan 7, 2020",NEGATIVE,"The dialog, dizzying cinematography and over use of the F word where real negative factors. Plus, the plot was not that good either. I would not recommend this movie."
"Jan 7, 2020",NEGATIVE,"The 1st time we left a movie in the middle! We didnt mind the swearing or violence. It was Adam. He was so over the top, loud, crazy character, so hyper that we just could not enjoy . His voice was also so annoying! Normally I enjoy him but this time so couldnt stand one more moment and it cost the 3 of us 37.00!"
"Jan 7, 2020",NEUTRAL,"Well it's definitely one of the most unique movies of 2019. And while it is good, it's not as great as I thought it would be. Certain parts are unequal to others, and I must say the the film's running time is a bit too long, which can make it a bit tedious. But Uncut Gems also has some suspenseful moments, and it's supported by a crazy performance by Adam Sandler, he's definitely the highlight of this movie. The pic is like a bad dream on cocaine, it's full of energy and never stops. Overall, it's an interesting movie and worth a good look if you can sit through a bit of time."
"Jan 7, 2020",NEGATIVE,I did not like the ending and the movie wasn't as good as I thought it would be.
"Jan 7, 2020",NEUTRAL,"Adam Sandler was great, but too many f..... bombs."
"Jan 7, 2020",POSITIVE,Good movie until he dies
"Jan 7, 2020",NEGATIVE,Wanted to walk out in middle kept waiting for something to happen wish I did 15 minutes in
"Jan 7, 2020",NEGATIVE,"Very unsettling at the end. Very different Role for Sandler being a Jewish obnoxious, self-serving, addicted to the thrill of the chase, self-absorbed, cheating low self-esteem individual. You are what you eat and I guess he got his Just Reward."
"Jan 7, 2020",POSITIVE,even tho the plot is a bit messy and the ending is unsatisfying adam sandler's incredible performance and the supporting cast carry this film to be as good as it is 
"Jan 7, 2020",NEGATIVE,"One of the worst movies ever made. ""Charismatic and funny"" is not the Adam Sandler character I saw. What are these reviewers watching? He was a pathetic loser and boring to witness."
"Jan 7, 2020",NEGATIVE,"I had high expectations for this film. That was my first mistake. My wife wanted to walk out she came close to convincing me to leave. But we stayed and I nailed the pretty much predictable end of Adam Sandlers character. If you have a need to see a portrayal of a near-insane, hopelessly addicted gambler, see Uncut Gems. Even a fan of this movie would have wanted 10 minutes cut from both the beginning and the ending."
"Jan 7, 2020",NEGATIVE,Unnecessary language and just plain lousy
"Jan 7, 2020",NEGATIVE,"Poorly written , profane, worst movie I've seen in years"
"Jan 7, 2020",NEGATIVE,The worst movie I have ever seen in my life!
"Jan 7, 2020",NEGATIVE,"Terrible terrible movie. Steady chaos the whole entire movie.
 never was exciting or disheartening at any point.. Just stupid chaos the whole thing. Adam Sandler did his thing .. just a bad idea for a movie overall"
"Jan 7, 2020",NEGATIVE,If I could give it negative stars I would.
"Jan 7, 2020",NEGATIVE,"This movie was awful! It made no sense! It was too long, boring and just plain bad ! What a waste of 2 hours!"
"Jan 7, 2020",NEUTRAL,I liked it to a certain degree Adam Sandler played his character very well I can almost picture and believe somewhere in New York a jewelry district and character like the one he plays what I didn't like is the ending and what happened to him in the end it was more than a shock and at the same time  a huge disappointment I was really upset mad even after all the ups and downs and setbacks he experienced in the movie I would have rathered things worked out for him and that he had not got shot and killed in the end that sucked for real.....
"Jan 7, 2020",POSITIVE,Adam Sandlers role was acted superbly.
"Jan 7, 2020",POSITIVE,"Sandler’s performance was mesmerizing, the story claustrophobic, and the dialogue intricate"
"Jan 7, 2020",NEGATIVE,"I should have walked out of this one. Yelling, constant chaos, not even one likable character... it was a waste of time & money, and it gave me a headache."
"Jan 7, 2020",NEGATIVE,I was so bored...almost left halfway thru movie.  Waste of my time.
"Jan 7, 2020",NEGATIVE,Boring story line. I wouldnt recommend even taking the time to rent it.
"Jan 7, 2020",NEUTRAL,Wasn't bad but one I definitely could've waited and seen on redbox.
"Jan 7, 2020",NEGATIVE,Very bad movie. So slow. Weak script. Actors were fair at beat. Wasted 115 minutes of my life. I was wanting to leave 6 times during the movie but stayed until  it ended . Bad idea
"Jan 7, 2020",NEGATIVE,I couldn’t follow it and like I’m not stupid
"Jan 7, 2020",NEGATIVE,"Very disappointed. The violence and plot were not entertaining. It is a sad story of an addicted gambler. Acting, language and story was just average. I have enjoyed Adam Sandler in almost all of his movies big dont recommend this one."
"Jan 7, 2020",NEGATIVE,Don't watch it. It is slow and a gambling monologue. I left the movie and requested a refund
"Jan 7, 2020",NEUTRAL,The best part was the acting of Adam Sandler. He deserves at least a nomination for an Oscar. The movie dragged at times but it showed how deeply destructive an addiction can become.
"Jan 7, 2020",NEGATIVE,This was the worst movie I’ve seen in a long time. The vulgarity was horrendous and offensive. The whole movie was so loud I could hardly stand it. My husband was disgusted too.  The overbearing gangster- type dialect was ridiculous!  We should’ve walked out and demanded our money back!  I kept waiting for this great plot and ending. Do not waste your time!!
"Jan 6, 2020",POSITIVE,"I was on the edge of my seat for a majority of the movie, I loved it and would recommend it to anyone"
"Jan 6, 2020",NEGATIVE,I'm a big Sandler fan but this movie was a waste of time. I kept waiting for a climax or action or better story.  I almost fell asleep on it. Very disappointing.
"Jan 6, 2020",POSITIVE,"Fast paced
Great ending"
"Jan 6, 2020",NEGATIVE,"foul language overshadowed any attempt to offer an acceptable script
walked out following others."
"Jan 3, 2020",POSITIVE,"Thought Adam Sandler and Julia Fox did a great job in this film. It is a very complicated and sometimes twisted plot to witch you must pay attention or you will lose the film's meaning and game plan. I will not be a spoiler but I feel the low audience score is because most people did not have enough knowledge of what was going on in Sandler's life or they just didn't try to understand him. For me the 2 hrs. and 15 mins.,very never boring. If you are a sophisticated person you will think this film is awesome."
"Jan 3, 2020",NEGATIVE,Walked out half way too much yelling in this movie
"Jan 3, 2020",POSITIVE,A 2+ hour anxiety laced thrill of a film and I wouldn’t have it any other way. Sandler was magnificent. Lol @ Adam Sandler Fanboys hating this movie. 
"Jan 3, 2020",NEGATIVE,"So much going on the whole time, Adam was yelling the majority of the movie. I had anxiety watching this."
"Jan 3, 2020",POSITIVE,"Adam Sandler deserves an Oscar for this performance!  Intense movie - edge of your seat, cringe worthy moments spectacularly acted, directed and edited."
"Jan 3, 2020",NEGATIVE,It was extremely loud and filled with gratuitous violence.
"Jan 3, 2020",NEGATIVE,Didnt like anything about it. From the story line to the direction of the scenes. Scenes that seemed to be going somewhere and then did not. Waste of time.
"Jan 3, 2020",NEGATIVE,"One of the worst movies I have seen.  You wont get entertainment here only frantic anxiety filled with foul language and violence. Wanted to leave numerous times but kept hoping it would get better. That said, I do believe Adam Sandler gave a good performance it was just a really bad bad movie"
"Jan 3, 2020",NEGATIVE,One of the worst movies I have ever seen. Pointless to see.  Sandler just screams a lot.
"Jan 3, 2020",NEGATIVE,This was the worst movie we have seen in years.  I am not a prude but the F word was used more times than I could count.  Adam Sandled should be ashamed to have been associated with such a piece of trash.
"Jan 3, 2020",NEGATIVE,"Terrible movie.  Long and without a point.  Acting was bad too.  
Waste of time.  People started to leave before the end because it was so bad."
"Jan 3, 2020",NEGATIVE,"adam sandler was amazing but the movie was too frenetic and all over the place....
left movie feeling anxious, not entetained"
"Jan 3, 2020",NEGATIVE,Oh man that wasn't the greatest Sandler movie. Who makes a movie and plays music almost constantly while their talking? The title doesn't make sense until the end for me. The only positive of this movie was about the last 30 mins. Oh and what a strange start to the movie.
"Jan 3, 2020",NEGATIVE,"A catch 22...Artistically a solid film, i really felt like i was part of the world of gambling, hustler, con artist crooks.  But it was painful to watch, as it was so noisy, in your face, etc. Physically disturbing to ""be there"" for 2 hours."
"Jan 3, 2020",NEUTRAL,Great acting ! A bit complex at times.
"Jan 3, 2020",NEGATIVE,This is one of the worst movies I have ever seen.
"Jan 3, 2020",POSITIVE,Definitely a great movie
"Jan 3, 2020",POSITIVE,"Love seeing Adam Sandler in serious roles. Movie intense. Events that made me stressed, uncomfortable, relieved, then taken by surprise. I was quite worked up by end of movie and needed to unwind awhile afterwards. I bet there are many that will love the roller coaster."
"Jan 3, 2020",NEGATIVE,If there was away to give this no stars I would. I love Adam Sandler but literally hated this movie. The assault to the senses was disturbing. I like all kinds of movies and rarely dislike any but it was all I could do to not walk out. Do not waste your time and money.
"Jan 3, 2020",NEGATIVE,"It was terrible 
Almost walked out 
Adam Sandler did great but the plot made no sense"
"Jan 3, 2020",NEUTRAL,"Good movie but it almost moved too fast. Adam Sandlers character was so chaotic it gave me a headache. With that being said Sandler did a great job in a serious role. The thug characters, although not quite Denairo or Pachino, were somewhat believable. B-ball player Garnett also did a great job."
"Jan 3, 2020",NEGATIVE,"Its a good story but the fact that everyone keeps yelling throughout the movie made me not like it. Its annoying!!! Several people simply left in the middle of the movie and I was hoping the yelling would stop. I ended up with a headache. I had high hopes for this movie based on reviews and trailer. 
I think the yelling was unnecessary on most of the scenes."
"Jan 3, 2020",NEGATIVE,Just a bunch of yelling. If I wasn't with my wife I would have walked out.
"Jan 3, 2020",NEGATIVE,"Positives: dialogue is raw, a lot of slang of fast talk that may go over some people’s heads. I personally love that in movies. The ending was terrific and unexpected. Negatives: the sound track belonged in a Blade Runner movie, it messed up the mood of the movie on a few occasions. Wish the plot was a bit tighter and cohesive. "
"Jan 3, 2020",NEGATIVE,Waste of time. Just a mess of voices on the screen running around. Like a South Park episode maybe?
"Jan 3, 2020",POSITIVE,"A gritty, dirty little world and a peek into it' Adam Sandler should be nominated for an Oscar fot this!"
"Jan 3, 2020",NEGATIVE,The story was not interesting and no amount of bad language or sex was going to make it better. Adam Sandler's character was just annoying.  Worst movie I have seen in a long time.
"Jan 3, 2020",NEGATIVE,"Tense throughout, and hardly anything good happens to anyone. Otherwise, decent plot, but not a huge fan of the directing. Sandler did a fine job and supporting cast was good."
"Jan 3, 2020",NEGATIVE,"Too loud, to many bombs, no plot, horrible, wanted to walk out, torture"
"Jan 3, 2020",POSITIVE,"Adam Sandler hater here. This film was brilliant. The entire runtime is filled with so much anxiety, I felt like I was tensed up at all times. The acting is top notch. Sandler gives his best performance in a long time. Kevin Garnett is surprisingly good, despite not being an actor. I had no intentions on seeing this film, but I'm glad I did. Ended up being one of my favorite of 2019."
"Jan 3, 2020",NEGATIVE,Worst movie ever.   Takes forever for anything to happen. So boring. Even ending which was supposed to be shocking was cheesy.  Dont waist your money.
"Jan 3, 2020",NEUTRAL,The thought the movie had a good story and the climax was certainly a shocker and unexpected.  I thought that is could have been a little shorter and some of the storyline could have been further explained as opposed to being left to wonder.
"Jan 3, 2020",NEGATIVE,To be honest I am a HUGE Adam Sandler fan but this was not one of his best or even close to something I would recommend. Sad but I will move forward. I think Adam Sandler should stay with comedy or romantic movies. This movie had many walking out quickly and at the end approx. 1/3 of the theater was emptied out.
"Jan 3, 2020",NEUTRAL,"It was really, really loud.  The ending broke my heart.  However, it was nice to see Adam Sandler in a dramatic role.  He was really good."
"Jan 3, 2020",NEGATIVE,"If they removed the disgusting language from this movie, there would have been little dialogue.  Look, I am no prude, but the continual use of vile language by ALL folks in this movie was, after a while, just plain disgusting.  The story would have been fun to watch revealed without such."
"Jan 3, 2020",NEGATIVE,overuse of the n word
"Jan 3, 2020",POSITIVE,Adam Sandler gave an amazing performance...
"Jan 3, 2020",NEGATIVE,Just a very slow moving movie.
"Jan 3, 2020",NEGATIVE,If you like hearing. MF AND NIA 300 OR 400 TIMES in an hour it was great. Predictable plot.  Walked out after an hour.
"Jan 3, 2020",NEGATIVE,"Language too much raunch,y 
Fast spaced , hard to follow 
Does king was unclear 
Left before movie was over  not Adam Sandler s best"
"Jan 2, 2020",NEGATIVE,Horrible. 2 hours of yelling and cursing. It gave me a headache!
"Jan 2, 2020",NEGATIVE,"This movie is borderline unwatchable.  If it were not for the fact that my friend really wanted to see this movie I would have left after 30 minutes.  Sandler's acting was good, but his character was unbelievable.  There is not way a total degenerate lying scumbag such as  Howard Ratner (played by Sandler)  would have had anyone working for him,  friends, or a wife and kids that still supported him.  Remove the word ""f**k"" and this script is 30% shorter.  Please...Please...don't waste your time on this garbage."
"Jan 2, 2020",NEGATIVE,"The plot was weak , the story line never tied itself together and I kept hoping Adam Sandlers character was going to get hit by a bus ending his misery, no one can be that stupids Hs make every bad decision  and have you root for him ."
"Jan 2, 2020",NEGATIVE,"The box office described this movie as ""hectic"", and stated 7 people walked out the day before.  Make that 9 now.  We only managed to stay for an hour, and even to these insensitive ears, enough was enough.  Though Sandler was in his groove, and definitely deserving of accolades for his performance, the premise, the language, the filmography, the music-served to portray a sad underbelly of the Manhattan Diamond District that, though honest, is not something I wish to watch as entertainment. Don't waste your money unless you prefer your movies to act as a catalyst for anxiety."
"Jan 2, 2020",NEUTRAL,Not worth seeing in theaters. Save for DVD or streaming. Good acting but just a really unclear purpose for a movie
"Jan 2, 2020",NEGATIVE,"Don't understand what people see as ""good"" about this movie. Sandler plays a stupid, stupid man doing stupid, stupid things--how is that art? Too loud, too violent--no redeeming value, in my opinion."
"Jan 2, 2020",NEGATIVE,Good acting but depressing and frustrating story
"Jan 2, 2020",POSITIVE,Excellent performance by Adam Sandler.
"Jan 2, 2020",POSITIVE,Adam Sandler's was great and the cast was awesome
"Jan 2, 2020",NEUTRAL,Parts of the story didn’t make sense
"Jan 2, 2020",NEGATIVE,"Horrible plot, save yourself."
"Jan 2, 2020",NEGATIVE,"Great cast, terrible movie. This movie is a strange dark almost 3 hr experience with no redeeming storyline. The movie is too loud and auditorially assaulting. The storyline is horrible and choppy. It is stressful to watch and depressing. I wish I could have gotten a refund."
"Jan 2, 2020",NEUTRAL,Not very entertains.  It dragged at times
"Jan 2, 2020",POSITIVE,The movie was fantastic.  Kept you guessing what was going to happen next throughout the movie.  Adam Sandler's performance was nothing like you have ever seen him do before.  Absolutely five stars!
"Jan 2, 2020",POSITIVE,"This is the Adam Sandler performance of a lifetime! He plays jeweler Howard Ratner,  who spirals even further into the gritty world of gambling, gemology, and making terrible decisions. Excellent film! Probably my favorite of the year!"
"Jan 2, 2020",NEGATIVE,Bad movie.  Not worth the ticket cost.
"Jan 2, 2020",POSITIVE,The movie was high intensity from start to beginning and the use of pause and anticipation was precisely executed. Lakeith Stanfield brought an authentic and genuine element to the film and the context of the story.
"Jan 2, 2020",NEGATIVE,"Worst movie I have seen in 10 years.  Adam Sadler did a great job, but the movie was awful."
"Jan 2, 2020",NEGATIVE,Too much anger and yelling.  I left feeling anxious.
"Jan 2, 2020",NEGATIVE,Did not like endless frantic behavior- did not expect endind- Sandler acting exceptional
"Jan 2, 2020",NEGATIVE,"Yes, this movie passed the time. Adam Sandler was good, but the movie was chaos. I was glad when the movie was over."
"Jan 2, 2020",NEUTRAL,Adam Sandler was great in this serious role but the movie was painful to sit thru. Just super long drawn out
"Jan 2, 2020",NEGATIVE,One of the worst movies I have ever seen. You feel like it is going to get better because Sandler is so good...but the movie just starts out poorly and gets worse from there.
"Jan 2, 2020",NEGATIVE,Undoubtably the worst movie I have seen in a very long time. Too many F-bombs. Too much screaming. Plot was terrible. Simply a waste of Time and Money.
"Jan 2, 2020",NEGATIVE,I've honestly never seen a worse movie.
"Jan 2, 2020",NEGATIVE,This was a terrible movie.  There was nothing that was good in it.  I noticed 8 people walking out of the movie but we stayed hoping it would get better but it did not.
"Jan 2, 2020",POSITIVE,Great movie showing the demons of debt. I would recommend it. 
"Jan 2, 2020",NEGATIVE,Alot of action. Hard to follow the storyline.
"Jan 2, 2020",NEGATIVE,"Bad plot, too much going on the whole time."
"Jan 2, 2020",NEGATIVE,I didn't like the movie at all.  I actually got up and walked out about an hour or so into the movie.  I wasn't the only one that walked out.  My time is too valuable to sit and watch a movie that I am not enjoying.  There was too much yelling and street language for my taste.  The story line was not what I thought it was going to be.  I love Adam Sandler so that is the only reason I gave it the extra half star
"Jan 2, 2020",NEGATIVE,Absolutely awful.  What a way to start a movie....a colonoscopy!  Language was disgusting.   I wasted my money!
"Jan 2, 2020",NEGATIVE,"To much screaming a cussing, not an entertaining movie"
"Jan 2, 2020",NEGATIVE,"Other than the exceptional performances by Adam Sandler and supporting cast, as well as gritty cinematography this movie screeched to new levels of headache-inducing annoyance from beginning to end. I found myself waiting impatiently for the ranting to stop and the story to begin."
"Jan 2, 2020",POSITIVE,Really good movie. Loved Adam Sandler.
