Date,Score,Reviews
"Dec 3, 2023",NEUTRAL,"Uncut Gems is a strange film in that it puts you on the edge of your seat for events you know are going to happen. 

It's a ride that's filled with bumps, turns, and performances that sometimes make you laugh but then ends on a hedonistic and unsatisfying message that just kind of leaves you thinking, ""Oh...so that's it?""

It's a film I'd recommend but only if you're willing to burn a few hours knowing there's not going to be a good payoff."
"Nov 29, 2023",NEUTRAL,"- its okay movie 
- solid performance by Adam Sandler 
- Movie was confusing a bit,and some of the soundtracks can be very irritating to the ears
- the ending was surprising and I believe it ended on a good note"
"Nov 26, 2023",POSITIVE,Extremely fun watch.
"Nov 23, 2023",NEGATIVE,Sandler good kinda drag along
"Nov 21, 2023",POSITIVE,Just great... brilliant acting by no one than Adam Sandler... a must watch for every cinema lover
"Nov 19, 2023",NEGATIVE,"It's all about a sheister and how his life goes down the toilet, it moves very slow and I found it agonizing to watch to the point I couldn't finish, normally his movies are at least funny if the plot is terrible but this isn't funny at all"
"Nov 17, 2023",NEUTRAL,I feel like i did a bag of coke and drank a pot of coffee watching this movie
"Nov 10, 2023",NEGATIVE,I watched this waiting for it to spring into life but I felt it was just a lot of shouting over very very little content. Do yourself a favour and don't waste your time
"Nov 5, 2023",NEGATIVE,"This is the worst movie I have ever seen. I don't mean that in a superlative way. I actually hate this movie and really want my time back. But it wasn't just wasted time, this movie was so draining it made my life worse. It was extremely anxiety inducing with zero payoff in the end for having suffered through it. W O R S T. M O V I E . E V E R."
"Nov 1, 2023",POSITIVE,good movie one of adam sandlers best performances non stop bad language and sad shocking ending good plot and characters though.
"Oct 22, 2023",POSITIVE,"This is an intense viewing like few action movies can accomplish, with only a couple of shots fired. And a stunning performance from Adam Sandler"
"Oct 16, 2023",POSITIVE,"I don't even know why I haven't seen this gem before, it's cohesive from start to finish, a spectacular monolithic Adam Sandler, another gem from A24"
"Oct 13, 2023",POSITIVE,The most overly-bashed actor in Hollywood history's greatest acting performance.
"Oct 4, 2023",POSITIVE,Adam sandler absolutely kills this role. Love to see him stepping out of his usual rom com movie. The whole Movie start to finish captivates you.
"Sep 26, 2023",NEGATIVE,"This movie maybe seems chaotic but we can't deny the excitement at the ending, you can feel the adrenaline even if you know what's gonna happen"
"Sep 8, 2023",NEGATIVE,"anxiety inducing is a great description. I found that more unpleasant than anything, even though it's a well made movie. YMMV"
"Sep 5, 2023",NEGATIVE,"If you like screaming,  F Yous and disconnected storylines, this movie is for you!!!"
