Name of the Movie,Critic,Audience, emsId
,,,
Madame Web,12.0,57.0,
Best Laid Plans,43.0,39.0,
Gloria,14.0,31.0,
True Crime,56.0,49.0,
One Tough Cop,24.0,21.0,
Phoenix,50.0,52.0,
The Golden Child,21.0,47.0,
Imaginary,25.0,54.0,
Dreamland,58.0,53.0,
Rebel Moon: Part One - A Child of Fire,21.0,58.0,
,,,

